Original,Translated
।।1.1।।धृतराष्ट्र ने कहा -- हे संजय ! धर्मभूमि कुरुक्षेत्र में एकत्र हुए युद्ध के इच्छुक (युयुत्सव:) मेरे और पाण्डु के पुत्रों ने क्या किया?,।।1.1।।धृतराष्ट्र ने कहा -- हे संजय ! धर्मभूमि कुरूक्षेत्र में सम्मिलित युद्ध के उद्देश्य (युयुत्सव:) मेरे और पाण्डु के पुत्रों ने क्या किया?
।।1.2।।संजय ने कहा -- पाण्डव-सैन्य की व्यूह रचना देखकर राजा दुर्योधन ने आचार्य द्रोण के पास जाकर ये वचन कहे।,1.2.संजय ने कहा--पांडव-सैन्य की दृष्टि रचना राजा दुर्योधन ने आचार्य द्रोण के पास ये वचन कहे।
।।1.3।।हे आचार्य ! आपके बुद्धिमान शिष्य द्रुपदपुत्र (धृष्टद्द्युम्न) द्वारा व्यूहाकार खड़ी की गयी पाण्डु पुत्रों की इस महती सेना को देखिये।,।।1.3।।हे आचार्य ! आपके विद्वान शिष्य द्रुपदपुत्र (धृष्टद्युम्न) द्वारा देखे गए दृश्यहाकार शिखर की ली गई पांडु पुत्रों की इस महती सेना को देखें।
"।।1.4।।इस सेना में महान् धनुर्धारी शूर योद्धा है ,  जो युद्ध में भीम और अर्जुन के समान हैं , जैसे --  युयुधान, विराट तथा महारथी राजा द्रुपद।","1.4.इस सेना में महान धनुर्धारी शूरवीर हैं, जो युद्ध में भीम और अर्जुन के समान हैं, -- युयुधान, विराट और महारथी राजा द्रुपद के समान हैं।"
"।।1.5।।धृष्टकेतु, चेकितान, बलवान काशिराज,  पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य।","।।1.5।।धृष्टकेतु, चेकितान,वान् काशीराज, पुरुजित्, कुंतिभोज और उपदेश में श्रेष्ठ साहब बल्य।"
"।।1.6।।पराक्रमी युधामन्यु,  बलवान् उत्तमौजा,  सुभद्रापुत्र (अभिमन्यु) और द्रोपदी के पुत्र -- ये सब महारथी हैं।","।।1.6।।पराक्रमी युधामन्यु, बलवान उत्तमौजा, सुभद्रापुत्र (अभिमन्यु) और द्रौपदी के पुत्र - ये सब महारथी हैं।"
"।।1.7।।हे द्विजोत्तम ! हमारे पक्ष में भी जो विशिष्ट योद्धागण हैं , उनको आप जान लीजिये; आपकी जानकारी के लिये अपनी सेना के नायकों के नाम मैं आपको बताता हूँ।","।।1.7।।हे द्विजोत्तम ! हमारे पक्ष में भी जो विशिष्ट वॉर्डरोब हैं, आप जान लें; आपकी जानकारी के लिए मैं आपको अपनी सेना के नायकों के नाम बताता हूं।"
"।।1.8।।एक तो स्वयं आप, भीष्म, कर्ण, और युद्ध विजयी कृपाचार्य तथा अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र है।","।।1.8।।एक तो स्वयं आप, भीष्म, कर्ण और युद्ध के विजयी कृपाचार्य तथा अश्वत्थामा, विकर्ण और सोमदत्त के पुत्र हैं।"
"।।1.9।।मेरे लिए प्राण त्याग करने के लिए तैयार, अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित तथा युद्ध में कुशल और भी अनेक शूर वीर हैं।","।।1.9।।मेरे लिए प्राण त्यागने की तैयारी, अनेक प्रकार के शस्त्रास्त्रों से लेकर युद्ध में कुशल और अनेक शूर वीर भी हैं।"
"।।1.10।।भीष्म के द्वारा हमारी रक्षित सेना अपर्याप्त है; किन्तु भीम द्वारा रक्षित उनकी सेना पर्याप्त है अथवा, भीष्म के द्वारा रक्षित हमारी सेना अपरिमित है किन्तु भीम के द्वारा रक्षित उनकी सेना परिमित ही है।","..1.10..भीष्म के द्वारा हमारी रक्षित सेना के खिलाड़ी हैं; बुरा भीम के पास अपनी सेना की सुरक्षा है या, भीष्म के पास अपनी सेना की सुरक्षा है।"
।।1.11।।विभिन्न मोर्चों पर अपने-अपने स्थान पर स्थित रहते हुए आप सब लोग भीष्म पितामह की ही सब ओर से रक्षा करें।,।।1.11।।विभिन्न मोर्चों पर अपने-अपने स्थान पर स्थित रहते हुए आप सभी लोग भीष्म पितामह की ही सब ओर से रक्षा करें।
"।।1.12।।उस समय कौरवों में वृद्ध, प्रतापी पितामह भीष्म ने उस (दुर्योधन) के हृदय में हर्ष उत्पन्न करते हुये उच्च स्वर में गरज कर शंखध्वनि की।","।।1.12।।उस समय कौरवों में वृद्ध, प्रतापी पितामह भीष्म ने उस (दुर्योधन) के हृदय में कठोर तरंगें बनाईं, उच्च स्वर में गर्जना कर शंखध्वनि की।"
"।।1.13।।तत्पश्चात् शंख, नगारे, ढोल व शृंगी आदि वाद्य एक साथ ही बज उठे, जिनका बड़ा भयंकर शब्द हुआ।","।।1.13।।तत्पश्चात् शंख, नगारे, ढोल व श्रृंगी आदि वाद्य एक साथ ही बज उठे, जैसे बड़ा भयंकर शब्द हुआ।"
।।1.14।।इसके उपरान्त श्वेत अश्वों से युक्त भव्य रथ में बैठे हुये माधव (श्रीकृष्ण) और पाण्डुपुत्र अर्जुन ने भी अपने दिव्य शंख बजाये।,।।1.14।। इनके ऊपरवर्ती श्वेत अश्वों से युक्त भव्य रथों में विराजमान माधव (श्रीकृष्ण) और पाण्डुपुत्र अर्जुन ने भी अपने दिव्य शंख की जगह ली।
"।।1.15।।भगवान् हृषीकेश ने पांचजन्य, धनंजय (अर्जुन) ने देवदत्त तथा भयंकर कर्म करने वाले भीम ने पौण्डू नामक महाशंख बजाया।","।।1.15।।भगवान् हृषीकेश ने पांचजन्य, धनंजय (अर्जुन) ने देवदत्त तथा भयंकर कर्म करने वाले भीम ने पौण्डु नामक महाशंख बजाया।"
।।1.16।।कुन्तीपुत्र राजा युधिष्ठिर ने अनन्त विजय नामक शंख और नकुल व सहदेव ने क्रमश:  सुघोष और मणिपुष्पक नामक शंख बजाये।,।।1.16।।कुन्तीपुत्र राजा युधिष्ठिर ने शंख नामक अनन्त विजय प्राप्त की और नकुल व सहदेव ने विनोद: सुघोष तथा मणिपुष्प नामक शंख बजाये।
"।।1.17।।श्रेष्ठ धनुषवाले काशिराज, महारथी शिखण्डी, धृष्टद्युम्न,  राजा विराट और अजेय सात्यकि।","।।1.17।।श्रेष्ठ धनुरावाले काशीराज, महारथी शिखंडी, धृष्टद्युम्न, राजा विराट और अजेय सात्यकि।"
"।।1.18।।हे राजन् ! राजा द्रुपद,  द्रौपदी के पुत्र और महाबाहु सौभद्र (अभिमन्यु) इन सब ने अलग-अलग शंख बजाये।","।।1.18।।हे राजन् ! राजा द्रुपद, द्रौपदी के पुत्र और महाबाहु सौभद्र (अभिमन्यु) इन सभी ने अलग-अलग शंख बजाये।"
