Original,Translated
।।1.1।।धृतराष्ट्र ने कहा -- हे संजय ! धर्मभूमि कुरुक्षेत्र में एकत्र हुए युद्ध के इच्छुक (युयुत्सव:) मेरे और पाण्डु के पुत्रों ने क्या किया?,"1. Dhritarashtra ने कहा कि मेरे लोगों और पंडू के पुत्रों ने क्या किया जब वे एक साथ इकट्ठा हुए थे और कुरक्सा के पवित्र मंजिल पर लड़ाई के लिए उत्सुक थे, O Sanjaya।"
।।1.2।।संजय ने कहा -- पाण्डव-सैन्य की व्यूह रचना देखकर राजा दुर्योधन ने आचार्य द्रोण के पास जाकर ये वचन कहे।,"सानियाया ने कहा कि पांडावस की सेना को लड़ाकू रस्सी में उठाकर देखा, राजा डुरीओडाना फिर अपने शिक्षक (ड्रोना) के पास आया और इन शब्दों को बोला।"
।।1.3।।हे आचार्य ! आपके बुद्धिमान शिष्य द्रुपदपुत्र (धृष्टद्द्युम्न) द्वारा व्यूहाकार खड़ी की गयी पाण्डु पुत्रों की इस महती सेना को देखिये।,"1:3 ""देखो, हे शिक्षक, पंडू के पुत्रों की यह शक्तिशाली सेना, ड्रूपादा के पुत्र, तेरे बुद्धिमान अनुयायियों द्वारा तैयार किया गया है।"
"।।1.4।।इस सेना में महान् धनुर्धारी शूर योद्धा है ,  जो युद्ध में भीम और अर्जुन के समान हैं , जैसे --  युयुधान, विराट तथा महारथी राजा द्रुपद।","1.4. यहाँ नायकों, शक्तिशाली आर्केर हैं, Bhima और Arjuna, Yoyudhana (Satyaki), Virata और Drupada, महान कार (शक्तिशाली योद्धाओं) के लिए लड़ाई में घूमते हैं।"
"।।1.5।।धृष्टकेतु, चेकितान, बलवान काशिराज,  पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य।","1.5. ""Dhrishtaketu, Chekitana और कसी, Purujit और Kuntibhoja और Saibya के साहसी राजा, सर्वश्रेष्ठ लोग।"
"।।1.6।।पराक्रमी युधामन्यु,  बलवान् उत्तमौजा,  सुभद्रापुत्र (अभिमन्यु) और द्रोपदी के पुत्र -- ये सब महारथी हैं।","1.6. ""शक्तिशाली यहोदामाया और साहसी यूटामाया, सुबादा का बेटा (अब्बामाया, सुबादा और आर्गुना का बेटा), और ड्रापैडी के बेटे, सभी महान वाहनों (बड़े नायकों)।"
"।।1.7।।हे द्विजोत्तम ! हमारे पक्ष में भी जो विशिष्ट योद्धागण हैं , उनको आप जान लीजिये; आपकी जानकारी के लिये अपनी सेना के नायकों के नाम मैं आपको बताता हूँ।","﴾ 7 ﴿ और जान लो, दोबारा पैदा हुए लोगों में से सर्वश्रेष्ठ, उन लोगों के नाम जिन्हें हम में से सर्वश्रेष्ठ हैं, मेरे सेना के नेताओं के नाम, मैं तेरे ज्ञान के लिए तेरे नाम देता हूँ।"
"।।1.8।।एक तो स्वयं आप, भीष्म, कर्ण, और युद्ध विजयी कृपाचार्य तथा अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र है।","8. ""तुम और Bhishma, और Karna और भी Kripa, युद्ध में विजेता, Asvatthama, Vikarna, और भी Bhurisrava, Somadatta के बेटे।"
"।।1.9।।मेरे लिए प्राण त्याग करने के लिए तैयार, अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित तथा युद्ध में कुशल और भी अनेक शूर वीर हैं।","""और कई अन्य नायकों, जो मेरे लिए अपनी जान छोड़ने के लिए तैयार हैं, विभिन्न हथियारों और मिसाइलों के साथ सशस्त्र, सभी अच्छी तरह से लड़ाई में कुशल हैं।"
"।।1.10।।भीष्म के द्वारा हमारी रक्षित सेना अपर्याप्त है; किन्तु भीम द्वारा रक्षित उनकी सेना पर्याप्त है अथवा, भीष्म के द्वारा रक्षित हमारी सेना अपरिमित है किन्तु भीम के द्वारा रक्षित उनकी सेना परिमित ही है।","1.10. ""बीशमा द्वारा हमारा यह सेना अपर्याप्त है, जबकि बीशमा द्वारा हमारा यह सेना पर्याप्त है।"
।।1.11।।विभिन्न मोर्चों पर अपने-अपने स्थान पर स्थित रहते हुए आप सब लोग भीष्म पितामह की ही सब ओर से रक्षा करें।,"1.11 ""इसलिए तुम सब, अपने विपरीत पदों में स्थित, सेना के कई विभाजनों में, अकेले Bhishma की रक्षा करो।"
"।।1.12।।उस समय कौरवों में वृद्ध, प्रतापी पितामह भीष्म ने उस (दुर्योधन) के हृदय में हर्ष उत्पन्न करते हुये उच्च स्वर में गरज कर शंखध्वनि की।","1.12 उसकी महिमा की दादी (Bhishma), काउरावास के सबसे पुराने, Duryodhana का आनंद लेने के लिए, अब एक लियोन की तरह चढ़ाई, और उसके कंधे को ब्लेड किया।"
"।।1.13।।तत्पश्चात् शंख, नगारे, ढोल व शृंगी आदि वाद्य एक साथ ही बज उठे, जिनका बड़ा भयंकर शब्द हुआ।","(११३) फिर (बुशमा का अनुसरण करते हुए) कन्च और केटलेड्रोम, तम्बू, ड्रम और गाय के कोनों ने अचानक (कुरवा के किनारे से) बाहर निकला और ध्वनि भयानक थी।"
