Original,Translated
"1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya.","..1.1.. Dhritarashtra said – O Sanjay! What did I and Pandu's sons do when they gathered in the sacred land of Kurukshetra, desirous of war (yuyutsavah)?"
"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.",".1.2..Sanjay said - Seeing the formation of the Pandava army, King Duryodhana went to Acharya Drona and said these words."
"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.","..1.3..O Acharya! Behold this mighty army of the sons of Pandu, arrayed in array by your wise disciple Drupadaputra (Dhrishtadyumna)."
"1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).","..1.4..This army has great archers and brave warriors, who are equal to Bhima and Arjuna in battle, like Yuyudhan, Virat and the great warrior King Drupada."
"1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.","..1.5..Dhrishtaketu, Chekitana, the mighty King of Kashi, Purujit, Kuntibhoja and Shaibya, the best among humans."
"1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).","..1.6..The mighty Yudhamanyu, the strong Uttamauja, the sons of Subhadra (Abhimanyu) and Draupadi -- all of them are great warriors."
"1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.","..1.7..O Dwijottam! Know the special warriors who are on our side too; For your information, I will tell you the names of the heroes of my army."
"1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.",".1.8..One is yourself, Bhishma, Karna, and the war-winning Kripacharya and the son of Ashwatthama, Vikarna and Somdutt."
"1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.","..1.9..There are many other brave men who are ready to sacrifice their lives for me, equipped with many types of weapons and skilled in war."
"1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.",".1.10..Our army protected by Bhishma is inadequate; But their army protected by Bheema is sufficient or, our army protected by Bheema is unlimited but their army protected by Bheema is limited."
"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""",".1.11..Standing at your respective places on different fronts, all of you should protect Bhishma Pitamah from all sides."
"1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.",".1.12..At that time, Bhishma, the oldest among the Kauravas and the glorious grandfather, created joy in the heart of Duryodhana and made a loud roar and blew his conch."
"1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.","..1.13..After that, musical instruments like conch, drums, drums and horns started playing simultaneously, which made a very terrible sound."
"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.","..1.14..After this, Madhav (Shri Krishna) and Pandu's son Arjun, sitting in a grand chariot with white horses, also blew their divine conch shells."
"1.15. Hrishikesha blew the Panchajanya and Arjuna blew the Devadatta
and Bhima (the wolf-bellied), the doer of terrible deeds, blew the great
conch Paundra.","1.15 Lord Hrishikesh blew Panchjanya, Dhananjay (Arjun) blew Devdutt and Bhima, who did terrible deeds, blew the great conch called Paundu."
"1.16. The king Yodhishthira, the son of Kunti, blew the Anantavijaya;
Nakula and Sahadeva blew the Sughosha and the Manipushpaka.",..1.16..Kunti's son King Yudhishthir blew the conch called Anant Vijay and Nakul and Sahadeva blew the conch called Sughosh and Manipushpak respectively.
"1.17. The king of Kasi, an exellent archer, Sikhandi, the mighty
car-warrior, Dhrishtadyumna and Virata and Satyaki, the unconered.","..1.17..Kashiraj having the best bow, Shikhandi, the expert warrior, Dhrishtadyumna, King Virat and the invincible Satyaki."
"1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately.","..1.18..O King! King Drupada, Draupadi's son and the mighty Saubhadra (Abhimanyu) all blew different conch shells."
"1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound.",..1.19..That terrible roar started echoing in the sky and the earth and it tore the hearts of Dhritarashtra's sons.
"1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth.","..1.20..O Mahipate! Thus, when the war was about to begin, Kapidhwaja Arjuna, seeing Dhritarashtra's sons positioned, raised his bow and said these words to Lord Hrishikesh."
"1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.","..1.21..Arjun said - Hey! Achyut, make my chariot stand between the two armies."
"1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.","..1.22..So that I can observe these people standing with the desire for war, with whom I have to fight in this war."
"1.23. For I desire to observe those who are assembled here to fight,
wishing to please in battle the evil-minded Duryodhana (the son of Dhritarashtra).","..1.23..These kings and the lovers of foolish Dhartarashtra (Duryodhana) who have gathered here in the war, I will see those warriors."
