Original,Translated
"1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya.","1 And the king said, O Sanjay, what did I and the sons of Pandou do, those who were willing to fight, which were gathered in the kingdom of Kurushtra?"
"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.","1.2 Sanjay said, “When the king Duriodhan saw the pandov army’s voyo composition, he went to the adjacent drown and said these words."
"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.","1.3.O Acara! see this precious army of the Pandu sons, which was established by your wise disciple Drupad-Son (Dhrihtad-Dhuman)."
"1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).","1.4 In this army there are great-righteous shur warriors, who in war are similar to dham and arjun, such as - youth, virat and maarthi king Dropad."
"1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.","1.5 Threethketu, Chekitan, Balvan Kashiraj, Puruziit, Kuntifoz and the best shabby among men."
"1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).","1.6 Parakrmi Yudhmanu, Balvan उत्तमouza, Suभdraputra (Aqmanu) and Dropadi’s sons—these are all mastery."
"1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.",You also know those special warriors which are on our behalf; for your information I tell you the names of the heroes of my army.
"1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.","1.8.1 So you are the son of you, the inner, the karn, and the victorious of war, the graceful and the ashvathama, the wickern and the sunset."
"1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.","I am ready to give up my soul, equipped with many kinds of weapons and skillful in war and even many shur heroes."
"1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.","1.10 Our army protected by the earth is insufficient; but their army protected by the earth is sufficient, or our army protected by the earth is unlimited, but their army protected by the earth is unlimited."
"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""","1.11 While staying in your place on various fronts, protect all of you from all sides of the Father."
"1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.","1.12 At that time, the elders of the curves, the praiseful Father, was in the hearts of that (Duryoed) in a loud tone, and praised and praised."
"1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.","1.13.Tatpashtshang, towns, shol and shrangi etc. instruments stood up together, whose great terrible words occurred."
"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.","1.14 In his subnight white ashes, in the great roat sitting Madhv (Shriकृष्ण) and Panduputra Arjuna also played his divine shang."
"1.15. Hrishikesha blew the Panchajanya and Arjuna blew the Devadatta
and Bhima (the wolf-bellied), the doer of terrible deeds, blew the great
conch Paundra.","1.15 The Lord of the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, the Fathers, and the Fathers."
"1.16. The king Yodhishthira, the son of Kunti, blew the Anantavijaya;
Nakula and Sahadeva blew the Sughosha and the Manipushpaka.","1.16 ContiSon king Yuthithir played the shang named eternal victory, and Nakul and Sadev, respectively, the shang named Sujahोष and Manipushpak."
"1.17. The king of Kasi, an exellent archer, Sikhandi, the mighty
car-warrior, Dhrishtadyumna and Virata and Satyaki, the unconered.","1.17 The best arrowers were Kashiraj, Maharathy Shikhdadi, Dharithidumn, King Virat and Azai Satyki."
"1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately.","1:18 O Rajan, the king Drupad, the son of Drupadi, and Mahabahu Saubrat, all of them played different shank."
"1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound.","1:19 And he began to clarify greatly on heaven and on earth, and he distorted the hearts of the sons of the land."
"1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth.","1:20 So when the war was to begin, the captain Arjuna saw the sons of the land, and he raised the arrow, and said these words to the Lord."
"1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.","21 And Arjuna said, Oh, put my wheat in the midst of the two armies."
"1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",1.22. by which I can stand with the will of war and observe these people with whom I have to fight in this war.
"1.23. For I desire to observe those who are assembled here to fight,
wishing to please in battle the evil-minded Duryodhana (the son of Dhritarashtra).",1:23 I will see those who will fight in the battle of the beloved Dharta (Dharta) who these kings have gathered here.
"1.24. Sanjaya said  Thus addressed by Arjuna, Krishna, having stationed that
best of chariots, O Dhritarashtra, in the midst of the two armies.","1.24 Sanjay said, “O India (three countries)!When Arjuna said this way, Godhashikesh stood the best rath between the two armies."
"1.25. In front of Bhishma and Drona, and all the rulers of the
earth, said: ""O Arjuna (son of Pritha), behold these Kurus gathered together.""","1:25 And they said before the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth, and the ruler of the earth."
"1.26. Then, Arjuna (son of Pritha) saw there (in the armies) stationed,
fathers and grandfathers, teachers, maternal uncles, brothers, sons, grandsons
and friends too.","26 There Arjuna also saw the brothers of the Father standing in those two armies, the fathers, the affairs, the affairs, the brothers, the sons, the Puthers, the friends, the shepherds and the hearts."
"1.27. (He saw) fathers-in-law and friends also in both the armies.
The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed,
spoke this, sorrowfully filled with deep pity.","1:27 So when he saw all those bonds standing, the heart of the Kanti son Arjuna was filled with mercy, and he was poisoned and said this."
"1.28. Arjuna said  Seeing these, my kinsmen, O krishna, arrayed, eager to fight.","1.28 1.29 Arjuna said, “O Kṛṣṇa, present with the will of war, seeing these selfishs, my organs are shitelled, my mouth is also drying, and in my body is compounding and exciting."
"1.29. My limbs fail and my mouth is parched, my body ivers and
my hair stands on end.","1.28 1.29 Arjuna said, “O Kṛṣṇa, present with the will of war, seeing these selfishs, my organs are shitelled, my mouth is also drying, and in my body is compounding and adventure."
