Original,Translated
"1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya.","Dhritarashtra said, “Hey Sanjay, what did my sons and Pandu, who wanted to fight in Dharma Bhoomi Kurukshetra, do? ”"
"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.","Sanjay said: When King Duryodhana saw the vision of the Pandava Army, he went to Acharya Drona and said these words."
"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.",Look at this great army of Pandu sons formed by your wise disciple Drupadputra - LRB - Dashpaddum - RRB -.
"1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).","In this army there are great archers armed with bow, who are like Bhima and Arjuna in battle, such as Yuudhana, Visva and Maharthi Raja Drupada."
"1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.","1. 5 - Chhattisgarh, Chhattisgarh, Balwan, Kashiraj, Purjit, Kunti Bhoja and Man are among the best characters."
"1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).","The sons of Parashari Yudhamnu, Balwan Uttamuja, Subdraputra (Abhimanu) and Draupadi - all of them are Maharthi."
"1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.","You, Bijottam, know the distinguished warriors who are also on our side; I will give you the names of the heroes of my army for your information."
"1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.","One is the son of himself, Bhishma, Karna, and the victorious Karmacharya and Aswatthama, Vikarna and Somadatta."
"1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.","For me, there are many more heroes ready to give up their lives, armed with many kinds of weapons and skilled in warfare."
"1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.","Our army protected by Bhishma is inadequate; but his army protected by Bhima is sufficient, or our army protected by Bhishma is finite but his army protected by Bhima is finite."
"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""","All of you, standing in your own place on different platforms, protect Him from all sides."
"1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.","At that time, the elderly prince Bhishma, the great father of the Kauravas, cried out in a loud voice, bringing joy to his heart."
"1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.","Subsequently, the instruments of Shankha, Nagare, ढोal and Sringi, etc., were played simultaneously and the words of which were utterly terrible."
"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.","After this, Madhava (Shri Krishna) and Panduputra Arjun, sitting in a magnificent chariot with white horses, also played their divine arrows."
"1.15. Hrishikesha blew the Panchajanya and Arjuna blew the Devadatta
and Bhima (the wolf-bellied), the doer of terrible deeds, blew the great
conch Paundra.","1. 15 - Bhagwan Hrishikesh played five - son, Dhananjay (Arjuna) played Devdutt and Bhima, who was doing terrible deeds, played the great bang called Pondo."
"1.16. The king Yodhishthira, the son of Kunti, blew the Anantavijaya;
Nakula and Sahadeva blew the Sughosha and the Manipushpaka.",1. 16. 2. Kuntiputra king Yudhishthira played the samba called Infinite Vijay and Nakul and Sahdev played the samba called Su Ghosh and Manipushpa respectively.
"1.17. The king of Kasi, an exellent archer, Sikhandi, the mighty
car-warrior, Dhrishtadyumna and Virata and Satyaki, the unconered.","The sixth archer Kashiraj, Maharthi Shikhandi, Dhrashdyumna, Raja Virat and Anyaya Satyaki."
"1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately.","Raja Durupad, the son of Draupadi and Mahabahu Saubhadra (Abhimanu) all played different rhythms."
"1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound.","He began to whistle on the heavens and the earth, and he distorted the hearts of the sons of Dhritarashtra."
"1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth.","Thus, when the war was about to begin, Captain Arjun, looking at the position of the sons of Dhritarashtra, lifted his bow and said these words to Lord Krishna."
"1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.","Arjun said, Hey, Achyut, raise my chariot between the two armies."
"1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",From which I can observe those who stand with the will to fight who I have to fight in this war.
"1.23. For I desire to observe those who are assembled here to fight,
wishing to please in battle the evil-minded Duryodhana (the son of Dhritarashtra).","I will see the warriors who are gathered here, the lovers of the war of the wise and righteous nation."
"1.24. Sanjaya said  Thus addressed by Arjuna, Krishna, having stationed that
best of chariots, O Dhritarashtra, in the midst of the two armies.","Sanjay said, ""O India (Dritrashtra)! Lord Krishna raised the best chariot between the two armies after Arjuna had said this."
"1.25. In front of Bhishma and Drona, and all the rulers of the
earth, said: ""O Arjuna (son of Pritha), behold these Kurus gathered together.""","In the presence of Bhishma, Drona and all the rulers of the earth, he said, ""Look at the crows gathered here, Pathr."""
"1.26. Then, Arjuna (son of Pritha) saw there (in the armies) stationed,
fathers and grandfathers, teachers, maternal uncles, brothers, sons, grandsons
and friends too.","There Arjun also saw the brothers of his father, the father - in - law, the teachers, the mothers, the brothers, the sons, the father - in - law, the friends, the father - in - law and the brother - in - law standing in the two armies."
"1.27. (He saw) fathers-in-law and friends also in both the armies.
The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed,
spoke this, sorrowfully filled with deep pity.","Thus seeing all the brothers and sisters standing, Arjuna, the son of Kunti, was filled with compassion and said this sadly."
"1.28. Arjuna said  Seeing these, my kinsmen, O krishna, arrayed, eager to fight.","Arjun said, ""O Krishna, when I see these people willing to fight, my limbs are weakened, my mouth is drying and my body is shaking and trembling."
"1.29. My limbs fail and my mouth is parched, my body ivers and
my hair stands on end.","Arjun said, 'O Krishna, when I see these people who are willing to fight, my limbs are weakened, my mouth is dry and my body is shaken and shaken."
"1.30. The (bow) Gandiva slips from my hand, and also my skins burns
all over; I am unable even to stand and my mind is reeling, as it were.",1. 30. The candle is falling from my hand and the skin is burning. My mind is confused and I am unable to stand.
"1.31. And I see adverse omens, O Kesava. I do not see any good
in killing my kinsmen in battle.","I see the opposite, Keshav, and I see no good by killing my own people in war."
"1.32. I desire not victory, O Krishna, nor kingdom, nor pleasures.
Of what avail is dominion to us, O Krishna, or pleasures or even life?","I do not seek victory, nor do I seek the kingdom, nor do I seek happiness. Govinda, what is our purpose in the kingdom, or in the enjoyment, or in the life?"
"1.33. Those for whose sake we desire kingdom, enjoyments and pleasures,
stand here in battle, having renounced life and wealth.","It is those of us who seek the kingdom, enjoyment and comfort who are at war, abandoning the hope of wealth and life."
"1.34. Teachers, fathers, sons and also grandfathers, maternal uncles,
fathers-in-law, grandsons, brothers-in-law and other relatives,-","They are Gurujan, Tao, uncle, son, father - in - law, Vishnu, grandson, Shylak and other relatives."
"1.35. These I do not wish to kill, though they kill me, O Krishna,
even for the sake of dominion over the three worlds; leave alone killing
them for the sake of the earth.","Honey, I do not want to kill them for their killing me or for the kingdom of the heavens, then what do I say to the earth?"
"1.36. By killing these sons of Dhritarashtra, what pleasure can
be ours, O Janardana? Only sin will accrue to us from killing these felons.",Why should we be happy to kill the sons of Dhritarashtra? It would be a sin for us to kill these terrorists.
"1.37. Therefore, we should not kill the sons of Dhritarashtra,
our relatives; for how can we be happy by killing our own people, O Madhava
(Krishna)?","Therefore, Madhava, it is not worthy of us to kill the sons of our ancestor Dhritarashtra, for how happy we will be by killing our own people."
"1.38. Though they, with intelligence overpowered by greed, see
no evil in the destruction of families, and no sin in hostility to friends,","However, corrupted by greed, these people do not see sin in the ruined guilt and the betrayal of friends."
"1.39. Why should not we who clearly see evil in the destruction
of families, learn to turn away from this sin, O Janardana (Krishna)?","But, O mankind, why should we not think, those of us who know the sin of total decay, that we should turn away from this sin?"
"1.40. In the destruction of a family, the immemorial religious
rites of that family perish; on the destruction of spirituality, impiety,
indeed, overcomes the whole family.","1. 40. The destruction of the tribe destroys the eternal religion. When the religion is destroyed, the whole tribe is crushed by disbelief."
"1.41. By the prevalence of impiety, O Krishna, the women of
the family become corrupt; and , women being corrupted, O Varshenya (descendant
of Vrishni), there arises intermingling of castes.","The increase in sin, O Krishna, leads to the poisoning of the women of the tribe, and the poisoning of the women leads to the formation of the carnage."
"1.42. Confusion of castes leads to hell the slayers of the family,
for their forefathers fall, deprived of the offerings of rice-ball and
water (libations).","It leads to the slaughter of the carnage - victims and the whole family. Their fathers, who are deprived of bodies and watering, also fall into hell."
"1.43. By these evil deeds of the destroyers of the family, which
cause confusion of castes, the eternal religious rites of the caste and
the family are destroyed.",These characteristic defects destroy the eternal cult and the caste cult by the fatal defects.
"1.44. We have heard, O Janardana, that inevitable is the dwelling
for an unknown period in hell for those men in whose families the religious
practices have been destroyed.",We have heard that those whose whole religion is destroyed here will live in hell for an indefinite time.
"1.45. Alas! We are involved in a great sin, in that we are
prepared to kill our kinsmen, through greed for the pleasures of a kingdom.",It is a pity that we are determined to commit a great sin and are prepared to destroy our family out of the lust of this kingdom.
