Original,Translated
"1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya.","Dhrutrasat said, ""O Sanjay! What did the war-loving sons of Pandhu and I do when they gathered at Dharmabhoomi Kurukshetra?"
"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.","1.2. Sanjay said - seeing the tactical structure of the Pandavas - army, King Duryodhana went to Acharya Drona and said these words."
"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.","1.3 O Acharya, look at this great army of the Pandavas, set up by your wise disciple Drupadputra (Dhithaddyumna)."
"1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).","1.4 This army has great archery warriors who are like Bhim and Arjuna in war, like - Yugdhana, Virat and Maharati King Druppadh."
"1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.","1.5. Dhadaketu, Chekitan, Bhalwan Kashiraj, Purujit, Kuntibhos and the best of the sages among the humans."
"1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).","1.6. Praakrami Yudha Manju, Ballavan Uthavana, Subhadraputra (Abhimanju) and the sons of Dropadi - these are all Mahatmas."
"1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.","1.7 O Djiyotam, know the distinguished warriors who are also on our side; for your information I give you the names of the heroes of my army."
"1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.","One is himself, Bhimsa, Karna, and War victor, the Gracious and son of Ashvatthama, Vikarna and Somadatt."
"1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.","1.9 There are many brave warriors who are ready to sacrifice their lives for me, equipped with various weapons and skilled in war."
"1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.","1.10. Our army protected by Bhishma is insufficient; but his army protected by Bhim is sufficient; or, our army protected by Bhishma is infinite but his army protected by Bhim is limited."
"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""","1.11. Standing in your places on different fronts, all of you defend Bhimpatam Mahasa from all sides."
"1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.","1.12. At that time, the elderly, glorious Father Bhimsa, in the Kauravas, thundered in a loud voice, making the heart of him rejoice."
"1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.","Then the horn, the horn, the drum and the horn, and the instruments of the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the horn, and the harp, and the harp, and the harp, and the string, and the string, and the string, and the string, and the string, and the string, and the string, and the string, and the string, and the string, and the string, all together, sounded."
"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.","1.14 After this, Madhva (Srikrishna) and Panduthapura Arjuna, sitting in a magnificent chariot of white horses, also played their divine horns."
